1889, 1900, 7
1889, 1886, -19
1889, 1883, -25
1889, 1881, -29
1889, 1878, -36
1889, 1876, -40
1889, 1871, -51
1889, 1868, -57
1889, 1863, -68
1889, 1861, -73
1889, 1858, -80
1888, 1855, -85
1888, 1852, -92
1887, 1847, -103
1887, 1844, -108
1886, 1841, -114
1886, 1838, -121
1885, 1834, -129
1884, 1828, -140
1883, 1825, -145
1882, 1822, -149
1881, 1818, -155
1880, 1814, -161
1878, 1808, -171
1877, 1804, -175
1875, 1800, -179
1873, 1796, -185
1872, 1789, -195
1870, 1785, -199
1868, 1780, -205
1865, 1776, -209
1863, 1772, -211
1861, 1765, -221
1858, 1759, -229
1856, 1755, -231
1853, 1750, -237
1850, 1742, -247
1848, 1737, -251
1845, 1732, -255
1842, 1727, -259
1839, 1719, -269
1836, 1714, -273
1832, 1705, -285
1829, 1698, -293
1826, 1693, -295
1822, 1686, -303
1819, 1681, -307
1815, 1674, -313
1812, 1667, -321
1808, 1661, -325
1806, 1656, -329
1802, 1649, -337
1798, 1644, -339
1795, 1637, -345
1791, 1629, -355
1787, 1623, -359
1783, 1617, -363
1779, 1611, -367
1775, 1604, -373
1771, 1598, -377
1767, 1592, -381
1764, 1586, -385
1759, 1577, -395
1755, 1571, -399
1751, 1566, -401
1747, 1557, -411
1743, 1550, -417
1739, 1545, -419
1736, 1537, -429
1732, 1531, -433
1728, 1526, -433
1723, 1520, -437
1719, 1511, -447
1715, 1505, -451
1711, 1499, -455
1707, 1489, -465
1702, 1483, -469
1699, 1477, -475
1696, 1472, -475
1692, 1465, -483
1688, 1459, -489
1685, 1453, -495
1680, 1446, -499
1676, 1439, -505
1672, 1434, -507
1667, 1426, -513
1664, 1420, -519
1660, 1415, -521
1655, 1409, -523
1651, 1400, -533
1647, 1395, -535
1642, 1389, -537
1638, 1381, -545
1634, 1375, -549
1629, 1370, -549
1625, 1363, -555
1620, 1355, -561
1616, 1349, -565
1612, 1344, -567
1607, 1336, -573
1603, 1330, -577
1599, 1324, -579
1594, 1318, -583
1590, 1310, -589
1585, 1305, -591
1581, 1299, -595
1576, 1291, -601
1572, 1283, -609
1566, 1277, -609
1562, 1269, -617
1557, 1263, -619
1552, 1256, -623
1547, 1251, -623
1543, 1243, -631
1538, 1238, -631
1534, 1232, -635
1529, 1224, -641
1525, 1218, -645
1521, 1213, -645
1516, 1205, -653
1512, 1200, -653
1507, 1194, -657
1502, 1189, -657
1497, 1180, -665
1492, 1175, -665
1488, 1169, -669
1482, 1161, -673
1478, 1155, -675
1473, 1150, -677
1469, 1144, -679
1464, 1136, -687
1459, 1131, -687
1455, 1125, -691
1450, 1119, -693
1446, 1113, -695
1441, 1107, -699
1436, 1100, -703
1430, 1093, -703
1424, 1086, -707
1419, 1078, -713
1415, 1072, -715
1410, 1067, -717
1405, 1061, -719
1401, 1054, -725
1396, 1049, -725
1392, 1043, -729
1387, 1037, -731
1383, 1031, -733
1378, 1025, -737
1373, 1021, -736
1368, 1013, -741
1363, 1008, -741
1358, 1002, -741
1352, 994, -747
1348, 989, -749
1343, 984, -749
1339, 979, -751
1333, 972, -753
1329, 967, -755
1325, 961, -759
1320, 957, -758
1316, 950, -763
1312, 945, -765
1308, 940, -765
1304, 936, -767
1300, 929, -773
1295, 925, -772
1291, 919, -775
1285, 914, -774
1280, 906, -779
1276, 902, -779
1271, 897, -780
1266, 890, -783
1262, 884, -785
1257, 879, -787
1253, 874, -789
1248, 870, -788
1244, 864, -791
1239, 858, -793
1235, 853, -795
1231, 849, -795
1225, 844, -794
1221, 837, -799
1216, 833, -798
1212, 828, -799
1208, 823, -799
1203, 817, -803
1199, 812, -805
1194, 808, -804
1190, 803, -805
1186, 797, -807
1181, 793, -807
1177, 788, -809
1172, 784, -808
1168, 777, -813
1163, 773, -812
1159, 768, -813
1155, 764, -812
1150, 760, -812
1146, 753, -817
1141, 749, -816
1137, 745, -816
1133, 740, -816
1128, 735, -817
1124, 730, -819
1119, 726, -818
1115, 720, -821
1110, 714, -823
1106, 709, -825
1102, 705, -824
1097, 701, -824
1093, 695, -827
1088, 691, -826
1084, 687, -826
1079, 683, -824
1075, 678, -825
1071, 673, -827
1066, 669, -826
1062, 664, -827
1057, 660, -826
1053, 654, -829
1048, 651, -826
1044, 646, -827
1040, 642, -826
1035, 636, -829
1031, 632, -829
1026, 629, -826
1022, 624, -827
1017, 619, -827
1013, 615, -828
1009, 611, -826
1004, 607, -826
1000, 601, -827
995, 598, -826
991, 593, -827
987, 590, -826
982, 586, -824
978, 582, -824
974, 577, -825
970, 572, -827
965, 568, -826
961, 564, -826
957, 560, -826
953, 555, -827
949, 552, -824
944, 548, -824
940, 544, -824
936, 540, -824
932, 537, -820
927, 532, -821
923, 529, -820
919, 525, -820
915, 521, -820
910, 518, -816
906, 514, -816
902, 509, -817
897, 505, -816
892, 501, -814
888, 498, -812
884, 494, -812
880, 489, -813
876, 486, -810
871, 483, -808
867, 479, -808
863, 475, -808
859, 472, -804
854, 467, -805
850, 464, -804
846, 460, -804
842, 457, -802
837, 454, -798
833, 450, -798
829, 445, -799
825, 442, -796
820, 439, -794
816, 435, -794
812, 431, -794
808, 428, -792
804, 423, -792
799, 420, -790
795, 417, -788
791, 413, -788
786, 410, -784
782, 406, -784
778, 403, -782
774, 399, -782
769, 396, -778
765, 393, -776
761, 390, -774
757, 386, -772
752, 383, -770
748, 380, -768
744, 376, -768
740, 373, -764
735, 370, -762
731, 366, -762
727, 363, -760
723, 360, -756
718, 357, -754
714, 353, -754
710, 349, -754
705, 346, -750
701, 344, -746
697, 340, -746
693, 337, -744
688, 334, -740
684, 331, -738
680, 327, -738
676, 324, -734
671, 322, -730
667, 319, -728
663, 315, -728
659, 311, -726
654, 308, -724
650, 305, -722
646, 302, -720
640, 300, -712
636, 296, -712
632, 292, -712
628, 290, -708
623, 287, -704
619, 284, -702
615, 281, -700
611, 278, -698
606, 275, -694
602, 273, -690
598, 269, -690
594, 267, -686
590, 264, -682
585, 261, -680
581, 258, -678
577, 255, -676
573, 253, -670
568, 250, -668
564, 247, -666
560, 244, -664
556, 242, -660
552, 239, -656
547, 237, -652
543, 234, -650
539, 231, -648
535, 228, -646
530, 226, -640
526, 223, -638
522, 221, -634
518, 218, -632
514, 214, -630
509, 212, -626
505, 209, -624
501, 207, -620
497, 205, -616
492, 202, -612
488, 199, -610
484, 197, -606
480, 194, -604
476, 192, -598
471, 190, -594
467, 187, -592
463, 184, -590
459, 182, -584
454, 180, -580
450, 178, -576
446, 175, -574
442, 173, -570
438, 170, -566
433, 168, -562
429, 166, -558
425, 164, -554
421, 162, -550
417, 159, -546
413, 157, -542
408, 155, -538
404, 153, -534
400, 150, -532
396, 148, -528
392, 146, -524
388, 144, -518
383, 142, -514
379, 140, -510
375, 138, -506
371, 135, -504
367, 132, -502
363, 131, -494
359, 129, -490
354, 127, -486
350, 124, -484
346, 122, -480
342, 120, -476
337, 118, -470
332, 116, -464
328, 114, -460
324, 112, -456
320, 110, -450
315, 108, -446
311, 106, -442
307, 104, -438
303, 102, -434
299, 101, -428
295, 99, -424
291, 97, -420
287, 95, -416
283, 94, -410
279, 92, -406
275, 90, -402
271, 89, -396
267, 87, -392
263, 85, -388
260, 84, -384
256, 82, -380
252, 80, -376
249, 79, -370
243, 77, -364
239, 75, -360
235, 74, -354
231, 72, -350
227, 70, -346
224, 69, -340
220, 67, -336
216, 65, -332
212, 64, -328
208, 62, -324
204, 61, -318
200, 60, -312
196, 58, -308
192, 56, -304
188, 55, -298
184, 54, -292
180, 52, -288
176, 51, -282
172, 49, -278
168, 48, -272
164, 47, -266
160, 45, -262
156, 44, -256
152, 42, -252
148, 41, -246
144, 40, -240
140, 38, -236
136, 37, -230
132, 36, -224
128, 35, -218
124, 34, -212
120, 32, -208
116, 31, -202
112, 30, -196
108, 29, -190
104, 27, -186
100, 26, -180
96, 25, -174
93, 24, -168
89, 23, -164
85, 22, -158
81, 21, -152
78, 20, -146
74, 18, -144
70, 18, -136
66, 16, -132
63, 15, -128
59, 14, -122
55, 13, -116
